Column 1	Column 2	Column 3	Column 4	Column 5	Column 6	Column 7	Column 8	Column 9	Column 10	Column 11	Column 12
3/31/2026 14:27:34	Il mulino del Po	Bacchelli, Riccardo	2002	Mondadori		http://id.sbn.it/bid/BRI0487561	Identità, Società, Storia e Memoria	784	1	Letteratura Italiana	
3/31/2026 14:28:24	Tu vipera gentile	Bellonci, Maria	1972	Mondadori		https://opac.sbn.it/risultati-ricerca-avanzata/-/opac-adv/index/1/ITICCUIEI0502343?fieldvalue%5B1%5D=tu+vipera+gentile&fieldaccess%5B1%5D=Keywords%3A1016&fieldstruct%5B1%5D=ricerca.parole_tutte%3A4%3D6&struct%3A1001=ricerca.parole_almeno_una%3A%40or%40&dataf%5B%5D=1972&count_noelet=&formato_elet=&__id=generated_id_114	Relazioni, Identità,  Storia e Memoria	303	1	Letteratura Italiana	
3/31/2026 14:32:45	Oggi domani e mai	Bacchelli, Riccardo	1961	Mondadori		http://id.sbn.it/bid/SBL0042269	Relazioni, Società, Storia e Memoria	699	1	Letteratura Italiana	
3/31/2026 14:32:56	Da Quarto al Volturno: noterelle di uno dei Mille 	Abba, Giuseppe Cesare 	1956	Zanichelli		http://id.sbn.it/bid/RLZ0321563	Relazioni, Identità, Società, Storia e Memoria, Legalità, Avventura	279	1	Letteratura Italiana	
3/31/2026 14:33:08	Le notti difficili	Buzzati, Dino	1971	Mondadori		http://id.sbn.it/bid/BVE0252538	Identità, Società, Storia e Memoria, Fantasia	329	1	Letteratura Italiana	
3/31/2026 14:34:02	75 racconti	Alvaro, Corrado	1968	Bompiani		http://id.sbn.it/bid/MOD0218251	Relazioni, Società, Storia e Memoria	523	1	Letteratura Italiana	
3/31/2026 14:36:01	Una passione coniugale	Bacchelli, Riccardo	1967	Mondadori		http://id.sbn.it/bid/SBL0082986	Relazioni, Identità, Società	270	1	Letteratura Italiana	
3/31/2026 14:37:54	Tu vipera gentile	Bellonci, Maria	2003	Mondadori	9788804684343	https://opac.sbn.it/risultati-ricerca-avanzata/-/opac-adv/index/1/ITICCURMS0162387?monocampo=tu+vipera+gentile&_cacheid=1774960962739&dataf%5B%5D=2001&count_noelet=&formato_elet=&__id=generated_id_146	Relazioni, Identità, Storia e Memoria	300	1	Letteratura Italiana	
3/31/2026 14:38:51	Il deserto dei Tartari	Buzzati, Dino	1983	Mondadori		http://id.sbn.it/bid/UM10075727	Formazione, Storia e Memoria, Natura, Scienza e Futuro	255	1	Letteratura Italiana	
3/31/2026 14:38:52	Mastrangelina	Alvaro, Corrado	1982	Bompiani 		http://id.sbn.it/bid/MOD0058734	Relazioni, Identità, Società, Storia e Memoria	287	1	Letteratura Italiana	
3/31/2026 14:40:09	Il viaggio misterioso	Bevilacqua, Alberto	1972	Rizzoli		http://id.sbn.it/bid/LIA0081323	Formazione, Avventura	258	2	Letteratura Italiana	
3/31/2026 14:40:57	Rinascimento privato	Bellonci, Maria	1989	Mondadori	8804272619	https://opac.sbn.it/risultati-ricerca-avanzata/-/opac-adv/index/1/ITICCUNAP0199502?monocampo=rinascimento+privato&dataf%5B%5D=1989&count_noelet=&formato_elet=&__id=generated_id_240	Identità, Società, Storia e Memoria	550	1	Letteratura Italiana	
3/31/2026 14:42:43	L'inghippo 	Alianello, Carlo 	1973	Rusconi Libri		http://id.sbn.it/bid/RCA0861611	Formazione, Relazioni, Identità, Legalità, Avventura	512	1	Letteratura Italiana	
3/31/2026 14:43:06	Rinascimento privato	Bellonci, Maria	2003	Mondadori	8804455705	https://opac.sbn.it/risultati-ricerca-avanzata/-/opac-adv/index/1/ITICCUMOD0747323?monocampo=rinascimento+privato+&dataf%5B%5D=2002&count_noelet=&formato_elet=&__id=generated_id_238	Identità, Società, Storia e Memoria	574	1	Letteratura Italiana	
3/31/2026 14:43:23	Tutte le novelle vol 1, 2	Bacchelli, Riccardo	1958	Mondadori		http://id.sbn.it/bid/RAV0086260	Relazioni, Società, Storia e Memoria	580, 574	1	Letteratura Italiana	
3/31/2026 14:44:27	Il grande ritratto	Buzzati, Dino	1972	Mondadori		http://id.sbn.it/bid/SBL0456425	Relazioni, Identità, Natura, Scienza e Futuro	167	1	Letteratura Italiana	
3/31/2026 14:44:33	Gente in Aspromonte	Alvaro, Corrado	1970	Garzanti		http://id.sbn.it/bid/RLZ0189869	Identità, Società, Storia e Memoria, Legalità	231	1	Letteratura Italiana	
3/31/2026 14:47:41	L'età breve	Alvaro, Corrado	1973	Mondadori		http://id.sbn.it/bid/RMS2220722	Formazione, Relazioni, Identità, Società, Storia e Memoria	242	1	Letteratura Italiana	
3/31/2026 14:48:12	I misteri d'Italia	Buzzati, Dino	1978	Mondadori		http://id.sbn.it/bid/RAV0086481	Società, Storia e Memoria, Fantasia	198	1	Letteratura Italiana	
3/31/2026 14:48:25	Il pianto del figlio di Lais - Lo sguardo di Gesù	Bacchelli, Riccardo	1960	Mondadori		http://id.sbn.it/bid/USS0020293	Relazioni, Identità, Storia e Memoria	435	1	Letteratura Italiana	
3/31/2026 14:48:43	La Vita 	Alfieri, Vittorio 	1951	Giuseppe Principato 		http://id.sbn.it/bid/RLZ0311275281	Formazione, Identità, Società, Storia e Memoria	281	1	Letteratura Italiana	
3/31/2026 14:49:40	L' albero dai fiori bianchi 	Biagi, Enzo	1994	Rizzoli		http://id.sbn.it/bid/NAP0184119	Identità, Natura, Scienza e Futuro	193	1	Letteratura Italiana	
3/31/2026 14:50:46	L'età breve 	Alvaro, Corrado 	1972	Bompiani		http://id.sbn.it/bid/RMS2220722	Formazione, Relazioni, Identità, Società, Storia e Memoria	297	1	Letteratura Italiana	
3/31/2026 14:50:47	Le notti difficili	Buzzati, Dino	1971	Mondadori		http://id.sbn.it/bid/TO01472051	Identità, Società, Fantasia	354	1	Letteratura Italiana	
3/31/2026 14:51:37	Sole di febbraio	Baldini, Antonio	1967	Mursia		http://id.sbn.it/bid/SBL0065435	Relazioni, Identità, Società	245	1	Letteratura Italiana	
3/31/2026 14:53:31	Disonora il padre	Biagi, Enzo	1975	Rizzoli		http://id.sbn.it/bid/RMS0999932	Formazione, Storia e Memoria	220	1	Letteratura Italiana	
3/31/2026 14:53:42	Il libro dei buoni incontri di guerra e pace	Baldini, Antonio	1953	Sansoni 		http://id.sbn.it/bid/LO10248382	Relazioni, Società, Storia e Memoria	821	1	Letteratura Italiana	
3/31/2026 14:53:54	Un'isola	Amendola, Giorgio	1981	Rizzoli		http://id.sbn.it/bid/TO10011059	Formazione, Identità, Società, Storia e Memoria, Legalità	283	1	Letteratura Italiana	
3/31/2026 14:54:03	Una Donna	Aleramo, Sibilla	1977	Feltrinelli 		http://id.sbn.it/bid/IEI0006293	Formazione, Relazioni, Identità, Società, Storia e Memoria	203	2	Letteratura Italiana	
3/31/2026 14:54:10	Il passo dei Longobardi	Benedetti, Arrigo	1964	Mondadori		https://opac.sbn.it/risultati-ricerca-avanzata/-/opac-adv/index/1/ITICCURAV0161799?monocampo=il+passo+dei+longobardi	Identità, Società, Storia e Memoria	743	1	Letteratura Italiana	
3/31/2026 14:55:43	Poema a fumetti	Buzzati, Dino	2003	Mondadori	8804472510	http://id.sbn.it/bid/BVE0328805	Relazioni, Identità, Fantasia	240	1	Letteratura Italiana	
3/31/2026 14:55:59	Il fratello orientale	Altomonte, Antonio	1984	Rusconi Libri		http://id.sbn.it/bid/CFI0008808	Relazioni, Identità, Società, Storia e Memoria, Migrazioni	189	1	Letteratura Italiana	
3/31/2026 14:57:02	Rosso al vento	Benedetti, Arrigo	1974	Mondadori		https://opac.sbn.it/risultati-ricerca-avanzata/-/opac-adv/index/3/ITICCURAV0086411?monocampo=rosso+al+vento+&dataf%5B%5D=1974&count_noelet=&formato_elet=&__id=generated_id_66	Relazioni, Società, Storia e Memoria	328	1	Letteratura Italiana	
3/31/2026 14:57:06	I come italiani	Biagi, Enzo	1993	Rizzoli		http://id.sbn.it/bid/CAM0221033	Società, Storia e Memoria	229	1	Letteratura Italiana	
3/31/2026 14:57:47	Un Amore Insolito	Aleramo, Sibilla	1979	Feltrinelli 		http://id.sbn.it/bid/UMC1009314	Relazioni, Identità, Società, Storia e Memoria, Fantasia	472	1	Letteratura Italiana	
3/31/2026 14:58:25	Classico Ribelle 	Allevi, Giovanni	2011	Rizzoli	9788817052597	http://id.sbn.it/bid/TO01824285	Formazione, Identità, Natura, Scienza e Futuro	129	1	Letteratura Italiana	
3/31/2026 14:58:27	Sessanta racconti	Buzzati, Dino	1969	Mondadori		http://id.sbn.it/bid/MIL0410001	Identità, Natura, Scienza e Futuro, Fantasia	563	1	Letteratura Italiana	
3/31/2026 15:00:48	Tutte le opere, vol 1	Bandello, Matteo	1934	Mondadori		http://id.sbn.it/bid/RLZ0314262	Relazioni, Società, Storia e Memoria	1150	1	Letteratura Italiana	
3/31/2026 15:01:16	La battaglia soda	Bianciardi, Luciano	1964	Rizzoli		http://id.sbn.it/bid/RAV0156741	Identità, Storia e Memoria, Avventura	193	1	Letteratura Italiana	
3/31/2026 15:01:35	Amo dunque sono	Aleramo, Sibilla	1982	Mondadori 		http://id.sbn.it/bid/IEI0422156	Formazione, Relazioni, Identità, Società, Storia e Memoria	156	1	Letteratura Italiana	
3/31/2026 15:01:51	Siamo spiacenti di	Buzzati, Dino	1985	Mondadori		http://id.sbn.it/bid/RLZ0187998	Società, Natura, Scienza e Futuro, Fantasia	222	1	Letteratura Italiana	
