titolo	anno	numero_prestiti
1934	2018	5
1934	2021	3
1934	2022	7
1934	2023	8
3racconti	2023	1
5: L'airone	2022	5
5: L'airone	2025	4
75 racconti	2018	9
75 racconti	2019	22
75 racconti	2020	25
75 racconti	2021	11
75 racconti	2023	20
75 racconti	2024	10
75 racconti	2025	25
A che punto è la notte	2021	8
A che punto è la notte	2022	12
A che punto è la notte	2023	12
A che punto è la notte	2024	8
A ciascuno il suo	2018	17
A ciascuno il suo	2019	22
A ciascuno il suo	2020	20
A ciascuno il suo	2020	3
A ciascuno il suo	2021	20
A ciascuno il suo	2022	29
A ciascuno il suo	2022	5
A ciascuno il suo	2023	8
A ciascuno il suo	2024	23
A ciascuno il suo	2025	13
A Milano non fa freddo	2020	2
A Milano non fa freddo	2021	4
A quale tribù appartieni?	2019	22
A quale tribù appartieni?	2020	11
A quale tribù appartieni?	2021	23
A quale tribù appartieni?	2022	5
A quale tribù appartieni?	2022	9
A quale tribù appartieni?	2023	28
A quale tribù appartieni?	2024	26
A quale tribù appartieni?	2025	26
Aboliamo la scuola!	2018	19
Aboliamo la scuola!	2019	9
Aboliamo la scuola!	2020	28
Aboliamo la scuola!	2021	18
Aboliamo la scuola!	2022	16
Aboliamo la scuola!	2023	11
Aboliamo la scuola!	2024	19
Aboliamo la scuola!	2025	21
Acciaio	2022	5
Aceto, arcobaleno	2020	6
Aceto, arcobaleno	2022	3
Aceto, arcobaleno	2023	4
Adone	2018	30
Adone	2019	14
Adone	2020	17
Adone	2021	13
Adone	2022	25
Adone	2023	8
Adone	2024	11
Adone	2025	14
Aforismi dell'arte bellica	2018	12
Aforismi dell'arte bellica	2020	6
Aforismi dell'arte bellica	2025	5
Africo	2018	22
Africo	2019	25
Africo	2020	12
Africo	2021	14
Africo	2022	28
Africo	2023	12
Africo	2024	26
Africo	2025	25
Agata e Pietra Nera	2021	1
Agata e Pietra Nera	2025	1
Agostino	2018	6
Agostino	2019	6
Agostino	2022	6
Agostino	2024	7
Al limite estremo	2018	7
Al limite estremo	2020	6
Al limite estremo	2024	5
Alce nero parla	2018	28
Alce nero parla	2019	18
Alce nero parla	2020	28
Alce nero parla	2021	21
Alce Nero parla	2022	2
Alce nero parla	2022	9
Alce nero parla	2023	16
Alce nero parla	2024	10
Alessandra	2020	3
Alessandra	2025	3
Alice e i nibelunghi	2025	1
Alla ricerca di Antonio	2021	12
Alla ricerca di Antonio	2022	8
Alla ricerca di Antonio	2024	12
Alla ricerca di Antonio	2025	7
Alla sbarra	2021	5
Alla sbarra	2024	2
Allegro ma non troppo	2022	5
Allegro ma non troppo	2023	5
Alphabetum	2018	6
Alphabetum	2019	3
Alphabetum	2020	5
Alphabetum	2021	4
Alphabetum	2022	7
Alta fedeltà	2018	22
Alta fedeltà	2019	8
Alta fedeltà	2020	10
Alta fedeltà	2021	28
Alta fedeltà	2022	30
Alta fedeltà	2023	29
Alta fedeltà	2024	22
Alta finanza	2018	19
Alta finanza	2019	9
Alta finanza	2020	16
Alta finanza	2021	23
Alta finanza	2022	30
Alta finanza	2024	30
Alta finanza	2025	27
Altri versi	2021	5
Altri versi	2023	4
Altri versi	2024	12
Amado Mio	2018	24
Amado Mio	2019	27
Amado Mio	2020	24
Amado Mio	2022	18
Amado Mio	2024	21
Amado Mio	2025	29
Amiche d'ombra	2018	29
Amiche d'ombra	2019	25
Amiche d'ombra	2021	28
Amiche d'ombra	2022	23
Amiche d'ombra	2023	29
Amiche d'ombra	2024	19
Amiche d'ombra	2025	24
Amicizie Profane	2018	10
Amicizie Profane	2020	6
Amicizie Profane	2022	5
Amo dunque sono	2018	11
Amo dunque sono	2019	26
Amo dunque sono	2020	15
Amo dunque sono	2021	26
Amo dunque sono	2022	27
Amo dunque sono	2024	9
Amore e psiche	2018	18
Amore e psiche	2019	21
Amore e psiche	2021	11
Amore e psiche	2022	25
Amore e psiche	2024	19
Amore e psiche	2025	14
Anche le formiche nel loro piccolo s'incazzano	2018	11
